temps;intensite
-0,002728;0,564
-0,002724;0,56
-0,00272;0,56
-0,002716;0,56
-0,002712;0,564
-0,002708;0,564
-0,002704;0,564
-0,0027;0,564
-0,002696;0,56
-0,002692;0,564
-0,002688;0,564
-0,002684;0,56
-0,00268;0,56
-0,002676;0,56
-0,002672;0,56
-0,002668;0,56
-0,002664;0,56
-0,00266;0,56
-0,002656;0,56
-0,002652;0,556
-0,002648;0,56
-0,002644;0,56
-0,00264;0,556
-0,002636;0,56
-0,002632;0,56
-0,002628;0,556
-0,002624;0,556
-0,00262;0,556
-0,002616;0,556
-0,002612;0,552
-0,002608;0,556
-0,002604;0,556
-0,0026;0,552
-0,002596;0,552
-0,002592;0,556
-0,002588;0,552
-0,002584;0,556
-0,00258;0,548
-0,002576;0,552
-0,002572;0,548
-0,002568;0,552
-0,002564;0,548
-0,00256;0,548
-0,002556;0,552
-0,002552;0,544
-0,002548;0,548
-0,002544;0,544
-0,00254;0,544
-0,002536;0,544
-0,002532;0,54
-0,002528;0,54
-0,002524;0,536
-0,00252;0,544
-0,002516;0,536
-0,002512;0,536
-0,002508;0,532
-0,002504;0,532
-0,0025;0,532
-0,002496;0,532
-0,002492;0,528
-0,002488;0,532
-0,002484;0,528
-0,00248;0,528
-0,002476;0,524
-0,002472;0,52
-0,002468;0,524
-0,002464;0,52
-0,00246;0,52
-0,002456;0,52
-0,002452;0,516
-0,002448;0,516
-0,002444;0,512
-0,00244;0,516
-0,002436;0,508
-0,002432;0,508
-0,002428;0,508
-0,002424;0,504
-0,00242;0,504
-0,002416;0,504
-0,002412;0,504
-0,002408;0,5
-0,002404;0,5
-0,0024;0,496
-0,002396;0,492
-0,002392;0,492
-0,002388;0,492
-0,002384;0,488
-0,00238;0,488
-0,002376;0,488
-0,002372;0,484
-0,002368;0,484
-0,002364;0,48
-0,00236;0,48
-0,002356;0,48
-0,002352;0,476
-0,002348;0,476
-0,002344;0,472
-0,00234;0,472
-0,002336;0,472
-0,002332;0,468
-0,002328;0,468
-0,002324;0,464
-0,00232;0,46
-0,002316;0,464
-0,002312;0,464
-0,002308;0,464
-0,002304;0,46
-0,0023;0,456
-0,002296;0,456
-0,002292;0,456
-0,002288;0,452
-0,002284;0,452
-0,00228;0,452
-0,002276;0,448
-0,002272;0,448
-0,002268;0,452
-0,002264;0,444
-0,00226;0,448
-0,002256;0,444
-0,002252;0,444
-0,002248;0,44
-0,002244;0,44
-0,00224;0,44
-0,002236;0,44
-0,002232;0,44
-0,002228;0,44
-0,002224;0,44
-0,00222;0,44
-0,002216;0,444
-0,002212;0,436
-0,002208;0,44
-0,002204;0,44
-0,0022;0,444
-0,002196;0,44
-0,002192;0,44
-0,002188;0,436
-0,002184;0,44
-0,00218;0,444
-0,002176;0,44
-0,002172;0,44
-0,002168;0,444
-0,002164;0,44
-0,00216;0,448
-0,002156;0,448
-0,002152;0,448
-0,002148;0,448
-0,002144;0,448
-0,00214;0,448
-0,002136;0,452
-0,002132;0,456
-0,002128;0,46
-0,002124;0,456
-0,00212;0,46
-0,002116;0,46
-0,002112;0,464
-0,002108;0,464
-0,002104;0,468
-0,0021;0,468
-0,002096;0,472
-0,002092;0,476
-0,002088;0,476
-0,002084;0,48
-0,00208;0,484
-0,002076;0,484
-0,002072;0,484
-0,002068;0,488
-0,002064;0,492
-0,00206;0,496
-0,002056;0,492
-0,002052;0,5
-0,002048;0,504
-0,002044;0,504
-0,00204;0,508
-0,002036;0,516
-0,002032;0,512
-0,002028;0,516
-0,002024;0,516
-0,00202;0,524
-0,002016;0,516
-0,002012;0,524
-0,002008;0,524
-0,002004;0,536
-0,002;0,536
-0,001996;0,536
-0,001992;0,54
-0,001988;0,54
-0,001984;0,54
-0,00198;0,548
-0,001976;0,548
-0,001972;0,552
-0,001968;0,552
-0,001964;0,556
-0,00196;0,556
-0,001956;0,56
-0,001952;0,56
-0,001948;0,56
-0,001944;0,56
-0,00194;0,564
-0,001936;0,564
-0,001932;0,568
-0,001928;0,568
-0,001924;0,564
-0,00192;0,568
-0,001916;0,568
-0,001912;0,572
-0,001908;0,568
-0,001904;0,568
-0,0019;0,572
-0,001896;0,572
-0,001892;0,572
-0,001888;0,568
-0,001884;0,568
-0,00188;0,564
-0,001876;0,568
-0,001872;0,568
-0,001868;0,56
-0,001864;0,564
-0,00186;0,56
-0,001856;0,56
-0,001852;0,56
-0,001848;0,56
-0,001844;0,556
-0,00184;0,552
-0,001836;0,552
-0,001832;0,552
-0,001828;0,548
-0,001824;0,544
-0,00182;0,54
-0,001816;0,54
-0,001812;0,536
-0,001808;0,536
-0,001804;0,528
-0,0018;0,524
-0,001796;0,524
-0,001792;0,52
-0,001788;0,516
-0,001784;0,516
-0,00178;0,512
-0,001776;0,508
-0,001772;0,504
-0,001768;0,5
-0,001764;0,5
-0,00176;0,492
-0,001756;0,488
-0,001752;0,488
-0,001748;0,484
-0,001744;0,484
-0,00174;0,48
-0,001736;0,476
-0,001732;0,472
-0,001728;0,468
-0,001724;0,464
-0,00172;0,464
-0,001716;0,46
-0,001712;0,46
-0,001708;0,456
-0,001704;0,452
-0,0017;0,448
-0,001696;0,448
-0,001692;0,448
-0,001688;0,444
-0,001684;0,444
-0,00168;0,44
-0,001676;0,44
-0,001672;0,44
-0,001668;0,44
-0,001664;0,436
-0,00166;0,436
-0,001656;0,436
-0,001652;0,432
-0,001648;0,436
-0,001644;0,436
-0,00164;0,436
-0,001636;0,436
-0,001632;0,436
-0,001628;0,436
-0,001624;0,436
-0,00162;0,444
-0,001616;0,44
-0,001612;0,44
-0,001608;0,44
-0,001604;0,444
-0,0016;0,44
-0,001596;0,448
-0,001592;0,452
-0,001588;0,456
-0,001584;0,46
-0,00158;0,46
-0,001576;0,464
-0,001572;0,464
-0,001568;0,468
-0,001564;0,472
-0,00156;0,476
-0,001556;0,476
-0,001552;0,48
-0,001548;0,48
-0,001544;0,488
-0,00154;0,488
-0,001536;0,496
-0,001532;0,496
-0,001528;0,5
-0,001524;0,504
-0,00152;0,508
-0,001516;0,512
-0,001512;0,512
-0,001508;0,516
-0,001504;0,524
-0,0015;0,524
-0,001496;0,528
-0,001492;0,528
-0,001488;0,532
-0,001484;0,532
-0,00148;0,54
-0,001476;0,54
-0,001472;0,544
-0,001468;0,548
-0,001464;0,548
-0,00146;0,552
-0,001456;0,552
-0,001452;0,552
-0,001448;0,556
-0,001444;0,56
-0,00144;0,556
-0,001436;0,56
-0,001432;0,56
-0,001428;0,56
-0,001424;0,56
-0,00142;0,56
-0,001416;0,56
-0,001412;0,564
-0,001408;0,56
-0,001404;0,56
-0,0014;0,56
-0,001396;0,56
-0,001392;0,56
-0,001388;0,56
-0,001384;0,56
-0,00138;0,556
-0,001376;0,556
-0,001372;0,552
-0,001368;0,556
-0,001364;0,548
-0,00136;0,548
-0,001356;0,544
-0,001352;0,544
-0,001348;0,54
-0,001344;0,536
-0,00134;0,532
-0,001336;0,528
-0,001332;0,528
-0,001328;0,532
-0,001324;0,524
-0,00132;0,52
-0,001316;0,516
-0,001312;0,512
-0,001308;0,508
-0,001304;0,504
-0,0013;0,504
-0,001296;0,5
-0,001292;0,496
-0,001288;0,496
-0,001284;0,488
-0,00128;0,488
-0,001276;0,484
-0,001272;0,48
-0,001268;0,476
-0,001264;0,476
-0,00126;0,468
-0,001256;0,468
-0,001252;0,464
-0,001248;0,464
-0,001244;0,46
-0,00124;0,46
-0,001236;0,46
-0,001232;0,456
-0,001228;0,456
-0,001224;0,452
-0,00122;0,452
-0,001216;0,448
-0,001212;0,448
-0,001208;0,452
-0,001204;0,448
-0,0012;0,44
-0,001196;0,444
-0,001192;0,44
-0,001188;0,44
-0,001184;0,444
-0,00118;0,44
-0,001176;0,444
-0,001172;0,444
-0,001168;0,444
-0,001164;0,444
-0,00116;0,444
-0,001156;0,444
-0,001152;0,448
-0,001148;0,448
-0,001144;0,448
-0,00114;0,444
-0,001136;0,452
-0,001132;0,456
-0,001128;0,456
-0,001124;0,456
-0,00112;0,464
-0,001116;0,464
-0,001112;0,468
-0,001108;0,468
-0,001104;0,468
-0,0011;0,476
-0,001096;0,476
-0,001092;0,476
-0,001088;0,476
-0,001084;0,484
-0,00108;0,484
-0,001076;0,488
-0,001072;0,488
-0,001068;0,492
-0,001064;0,496
-0,00106;0,5
-0,001056;0,504
-0,001052;0,504
-0,001048;0,504
-0,001044;0,512
-0,00104;0,516
-0,001036;0,516
-0,001032;0,52
-0,001028;0,52
-0,001024;0,524
-0,00102;0,532
-0,001016;0,532
-0,001012;0,532
-0,001008;0,536
-0,001004;0,54
-0,001;0,54
-0,000996;0,54
-0,000992;0,544
-0,000988;0,544
-0,000984;0,548
-0,00098;0,552
-0,000976;0,552
-0,000972;0,556
-0,000968;0,556
-0,000964;0,56
-0,00096;0,56
-0,000956;0,56
-0,000952;0,56
-0,000948;0,56
-0,000944;0,564
-0,00094;0,564
-0,000936;0,564
-0,000932;0,564
-0,000928;0,564
-0,000924;0,564
-0,00092;0,568
-0,000916;0,568
-0,000912;0,564
-0,000908;0,564
-0,000904;0,568
-0,0009;0,568
-0,000896;0,564
-0,000892;0,568
-0,000888;0,568
